gwcode,name
2,United States of America
20,Canada
31,Bahamas
40,Cuba
41,Haiti
41,Haiti
42,Dominican Republic
51,Jamaica
52,Trinidad and Tobago
53,Barbados
70,Mexico
80,Belize
89,United Provinces of Central America
90,Guatemala
91,Honduras
92,El Salvador
93,Nicaragua
94,Costa Rica
95,Panama
99,Great Colombia
100,Colombia
101,Venezuela
110,Guyana
115,Surinam
130,Ecuador
135,Peru
140,Brazil
145,Bolivia
150,Paraguay
155,Chile
160,Argentina
165,Uruguay
200,United Kingdom
205,Ireland
210,Netherlands
211,Belgium
212,Luxembourg
220,France
225,Switzerland
230,Spain
235,Portugal
240,Hanover
245,Bavaria
255,Germany (Prussia)
260,German Federal Republic
265,German Democratic Republic
267,Baden
269,Saxony
271,Württemberg
273,Hesse-Kassel (Electoral)
275,Hesse-Darmstadt (Ducal)
280,Mecklenburg-Schwerin
290,Poland
300,Austria-Hungary
305,Austria
310,Hungary
315,Czechoslovakia
316,Czech Republic
317,Slovakia
325,Italy/Sardinia
327,Papal States
329,Two Sicilies
332,Modena
335,Parma
337,Tuscany
338,Malta
339,Albania
341,Montenegro
341,Montenegro
343,Macedonia (Former Yugoslav Republic of)
344,Croatia
340,Serbia
340,Serbia
345,Yugoslavia
346,Bosnia-Herzegovina
347,Kosovo
349,Slovenia
350,Greece
352,Cyprus
355,Bulgaria
359,Moldova
360,Rumania
365,Russia (Soviet Union)
366,Estonia
366,Estonia
367,Latvia
367,Latvia
368,Lithuania
368,Lithuania
369,Ukraine
370,Belarus (Byelorussia)
371,Armenia
372,Georgia
373,Azerbaijan
375,Finland
380,Sweden
385,Norway
390,Denmark
395,Iceland
402,Cape Verde
404,Guinea-Bissau
411,Equatorial Guinea
420,Gambia
432,Mali
433,Senegal
434,Benin
435,Mauritania
436,Niger
437,Cote D’Ivoire
438,Guinea
439,Burkina Faso (Upper Volta)
450,Liberia
451,Sierra Leone
452,Ghana
461,Togo
471,Cameroon
475,Nigeria
481,Gabon
482,Central African Republic
483,Chad
484,Congo
490,"Congo, Democratic Republic of (Zaire)"
500,Uganda
501,Kenya
510,Tanzania/Tanganyika
511,Zanzibar
516,Burundi
517,Rwanda
520,Somalia
522,Djibouti
530,Ethiopia
531,Eritrea
540,Angola
541,Mozambique
551,Zambia
552,Zimbabwe (Rhodesia)
553,Malawi
560,South Africa
563,Transvaal
564,Orange Free State
565,Namibia
570,Lesotho
571,Botswana
572,Swaziland
580,Madagascar (Malagasy)
580,Madagascar
581,Comoros
590,Mauritius
600,Morocco
600,Morocco
615,Algeria
615,Algeria
616,Tunisia
616,Tunisia
620,Libya
620,Libya
625,Sudan
626,South Sudan
630,Iran (Persia)
640,Turkey (Ottoman Empire)
645,Iraq
651,Egypt
651,Egypt
652,Syria
660,Lebanon
663,Jordan
666,Israel
670,Saudi Arabia
678,Yemen (Arab Republic of Yemen)
680,"Yemen, People's Republic of"
690,Kuwait
692,Bahrain
694,Qatar
696,United Arab Emirates
698,Oman
700,Afghanistan
700,Afghanistan
701,Turkmenistan
702,Tajikistan
703,Kyrgyz Republic
704,Uzbekistan
705,Kazakhstan
710,China
711,Tibet
712,Mongolia
713,Taiwan
730,Korea
731,"Korea, People's Republic of"
732,"Korea, Republic of"
740,Japan
750,India
760,Bhutan
770,Pakistan
771,Bangladesh
775,Myanmar (Burma)
775,Myanmar (Burma)
780,Sri Lanka (Ceylon)
781,Maldives
790,Nepal
800,Thailand
811,Cambodia (Kampuchea)
812,Laos
815,Vietnam (Annam/Cochin China/Tonkin)
816,"Vietnam, Democratic Republic of"
817,"Vietnam, Republic of"
820,Malaysia
830,Singapore
835,Brunei
840,Philippines
850,Indonesia
860,East Timor
900,Australia
910,Papua New Guinea
920,New Zealand
940,Solomon Islands
950,Fiji
